"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
5,432867026E1	6,028046794E1	2,495630479E1	-5,583789028E0	1,363229615E1	1,532952547E0	1,512688689E2	1,281970570E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,532866132E1	6,028045271E1	2,495631696E1	-5,534659724E0	1,368138707E1	1,548981905E0	1,511404340E2	1,304851300E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,632865214E1	6,028043325E1	2,495633042E1	-5,483935520E0	1,373206604E1	1,548981905E0	1,562830610E2	1,320198240E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,732864308E1	6,028041984E1	2,495633705E1	-5,538960075E0	1,367701518E1	1,692957759E0	1,526277897E2	1,338761476E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,832863462E1	6,028040347E1	2,495634363E1	-5,493971698E0	1,372197418E1	1,692957759E0	1,487323962E2	1,354406898E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,932862532E1	6,028039167E1	2,495635908E1	-5,499235222E0	1,371666991E1	1,606516600E0	1,494033257E2	1,367032774E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,032861555E1	6,028038139E1	2,495636884E1	-5,584832981E0	1,363104343E1	1,474400520E0	1,484518257E2	1,381821643E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,132860649E1	6,028037086E1	2,495638522E1	-5,612512721E0	1,360332259E1	1,425738573E0	1,509288758E2	1,398381565E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,232859707E1	6,028035913E1	2,495640374E1	-5,543672736E0	1,367211629E1	1,544218779E0	1,529867981E2	1,411352403E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,332858789E1	6,028034916E1	2,495641595E1	-5,661135742E0	1,355462039E1	1,544218779E0	1,530132992E2	1,422507927E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,432857847E1	6,028033951E1	2,495642149E1	-5,914286987E0	1,330144880E1	1,544218779E0	1,524947922E2	1,439624635E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,532856977E1	6,028032798E1	2,495644207E1	-6,156709145E0	1,305897681E1	1,562916756E0	1,514047214E2	1,463596629E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,632855999E1	6,028031076E1	2,495646822E1	-6,278963705E0	1,293665619E1	1,593711495E0	1,512593749E2	1,484537713E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,732855093E1	6,028029288E1	2,495648013E1	-6,431147168E0	1,278443201E1	1,655668139E0	1,514997430E2	1,502949450E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,832854152E1	6,028028028E1	2,495650180E1	-6,772212582E0	1,244331362E1	1,669384003E0	1,531353820E2	1,526866971E-1	6,000906205E0	6,000906205E0	0,000000000E0
6,932853150E1	6,028026356E1	2,495652910E1	-6,838324889E0	1,237713370E1	1,669384003E0	1,577960436E2	1,546880046E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,032852256E1	6,028024909E1	2,495655070E1	-6,530468912E0	1,268493485E1	1,669384003E0	1,559256782E2	1,565519150E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,132851267E1	6,028023291E1	2,495655950E1	-6,219048245E0	1,299632231E1	1,622352123E0	1,556853922E2	1,581933767E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,232850420E1	6,028021853E1	2,495656627E1	-6,029760829E0	1,318558212E1	1,575518012E0	1,553744137E2	1,595137189E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,332849419E1	6,028020737E1	2,495657442E1	-6,033775677E0	1,318154054E1	1,575518012E0	1,520233179E2	1,604291412E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,432848549E1	6,028020035E1	2,495658310E1	-6,064177715E0	1,315111520E1	1,518163204E0	1,515194959E2	1,615077791E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,532847548E1	6,028019278E1	2,495659533E1	-6,180815305E0	1,303444723E1	1,518163204E0	1,520060512E2	1,630548030E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,632846582E1	6,028018256E1	2,495661438E1	-6,372393794E0	1,284282309E1	1,659943938E0	1,525171270E2	1,652687070E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,732845712E1	6,028016437E1	2,495663073E1	-6,439942720E0	1,277522501E1	1,516821861E0	1,521468487E2	1,674244651E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,832844770E1	6,028014660E1	2,495664632E1	-6,397487313E0	1,281763308E1	1,516821861E0	1,518021291E2	1,694506797E-1	6,000906205E0	6,000906205E0	0,000000000E0
7,932843792E1	6,028013183E1	2,495666785E1	-6,360481814E0	1,285458357E1	1,342823148E0	1,502954713E2	1,709200044E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,032842803E1	6,028012008E1	2,495668005E1	-6,577606757E0	1,263742389E1	1,342823148E0	1,508901896E2	1,731115421E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,132841897E1	6,028010347E1	2,495670146E1	-6,830550419E0	1,238442348E1	1,629740119E0	1,510927047E2	1,754370384E-1	6,000906205E0	6,000906205E0	0,000000000E0
